frame,segment,phase,perception_input_time,p4_input_ready_time,p4_proc_enter,infer_start,infer_end,p4_output_time,p4_execution_ms,p4_waiting_ms,p4_deadline_budget_ms,p4_slack_ms,p4_state,host_tid,perf_window_start,perf_window_end,perf_sched_raw_file,cpu_stack_raw_file,notes
622,S4,core_abnormal,1787816295.5921082,75654086362016.0,,,,,,,108.091488,,no_service_observed,,,,,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy No unique CP_INFER ENTER/EXIT pair mapped; Infer/perf/TID fields left blank.
623,S4,core_abnormal,1787816295.6916194,75654194453504.0,75654209175424.0,75655018562573,75655336493536,75654536114464.0,326.93904,14.72192,97.484544,-244.176416,execution_driven_miss,1016506,75654.721216143,75655.039147106,extracted/F611_F623_core/F623_perf_sched_raw.txt,extracted/F611_F623_core/F623_cpu_stack_raw.txt,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
624,S4,,1787816295.791746,75654291938048.0,,,,,,,102.424512,,no_service_observed,,,,,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy No unique CP_INFER ENTER/EXIT pair mapped; Infer/perf/TID fields left blank. Outside the requested core_abnormal and recovery phase boundaries; phase intentionally blank.
625,S4,,1787816295.8922002,75654394362560.0,,,,,,,101.570848,,no_service_observed,,,,,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy No unique CP_INFER ENTER/EXIT pair mapped; Infer/perf/TID fields left blank. Outside the requested core_abnormal and recovery phase boundaries; phase intentionally blank.
626,S4,recovery,1787816295.9922054,75654495933408.0,75654536353120.0,75655346466779,75655441164716,75654640654112.0,104.300992,40.419712,126.419648,-18.301056,waiting_driven_miss,1016506,75655.049120349,75655.143818286,extracted/F626_F649_recovery/F626_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
627,S4,recovery,1787816296.0918057,75654622353056.0,75654640821824.0,75655450650561,75655550781653,75654750163136.0,109.341312,18.468768,66.55328,-61.2568,execution_driven_miss,1016506,75655.153304131,75655.253435223,extracted/F626_F649_recovery/F627_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
628,S4,recovery,1787816296.1916876,75654688906336.0,75654750370976.0,75655560287754,75655658800841,75654858498176.0,108.1272,61.46464,95.863744,-73.728096,execution_driven_miss,1016506,75655.262941324,75655.361454411,extracted/F626_F649_recovery/F628_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
629,S4,recovery,1787816296.2929566,75654784770080.0,75654858815520.0,75655668829477,75655769164571,75654968467520.0,109.652,74.04544,112.032704,-71.664736,waiting_driven_miss,1016506,75655.371483047,75655.471818141,extracted/F626_F649_recovery/F629_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
630,S4,recovery,1787816296.3917005,75654896802784.0,75654968621312.0,75655779436410,75655870421917,75655071390528.0,102.769216,71.818528,85.969056,-88.618688,execution_driven_miss,1016506,75655.48208998,75655.573075487,extracted/F626_F649_recovery/F630_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
631,S4,recovery,1787816296.4914122,75654982771840.0,75655071584576.0,75655881437861,75655975520014,75655175210848.0,103.626272,88.812736,101.189088,-91.24992,execution_driven_miss,1016506,75655.584091431,75655.678173584,extracted/F626_F649_recovery/F631_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
632,S4,recovery,1787816296.5915704,75655083960928.0,75655175369120.0,75655985292166,75656076408875,75655275671136.0,100.302016,91.408192,114.377824,-77.332384,waiting_driven_miss,1016506,75655.687945736,75655.779062445,extracted/F626_F649_recovery/F632_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
633,S4,recovery,1787816296.6914706,75655198338752.0,75655275868512.0,75656085534107,75656174577126,75655373840224.0,97.971712,77.52976,104.308704,-71.192768,waiting_driven_miss,1016506,75655.788187677,75655.877230696,extracted/F626_F649_recovery/F633_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
634,S4,recovery,1787816296.791675,75655302647456.0,75655374015328.0,75656183602709,75656275636549,75655475011936.0,100.996608,71.367872,87.992256,-84.372224,execution_driven_miss,1016506,75655.886256279,75655.978290119,extracted/F626_F649_recovery/F634_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
635,S4,recovery,1787816296.8917758,75655390639712.0,75655475169728.0,75656284960280,75656377510126,75655576947040.0,101.777312,84.530016,104.999552,-81.307776,waiting_driven_miss,1016506,75655.98761385,75656.080163696,extracted/F626_F649_recovery/F635_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
636,S4,recovery,1787816296.9918027,75655495639264.0,75655577131616.0,75656387752781,75656476996570,75655676366688.0,99.235072,81.492352,111.372512,-69.354912,waiting_driven_miss,1016506,75656.090406351,75656.17965014,extracted/F626_F649_recovery/F636_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
637,S4,recovery,1787816297.0919678,75655607011776.0,75655676517536.0,75656486162699,75656576530758,75655775966400.0,99.448864,69.50576,89.601792,-79.352832,execution_driven_miss,1016506,75656.188816269,75656.279184328,extracted/F626_F649_recovery/F637_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
638,S4,recovery,1787816297.195515,75655696613568.0,75655776143872.0,75656599227934,75656694198738,75655894483744.0,118.339872,79.530304,128.428544,-69.441632,waiting_driven_miss,1016504,75656.301881504,75656.396852308,extracted/F626_F649_recovery/F638_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
639,S4,recovery,1787816297.2917044,75655825042112.0,75655894887968.0,75656707833018,75656798268662,75655997696160.0,102.808192,69.845856,84.188832,-88.465216,execution_driven_miss,1016504,75656.410486588,75656.500922232,extracted/F626_F649_recovery/F639_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
640,S4,recovery,1787816297.4105787,75655909230944.0,,,,,,,84.08224,,no_service_observed,,,,,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy No unique CP_INFER ENTER/EXIT pair mapped; Infer/perf/TID fields left blank.
641,S4,recovery,1787816297.4947834,75655993313184.0,75656003336960.0,75656813300112,75656899978109,75656099557216.0,96.220256,10.023776,90.352352,-15.89168,execution_driven_miss,1016504,75656.515953682,75656.602631679,extracted/F626_F649_recovery/F641_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
642,S4,recovery,1787816297.5933,75656083665536.0,75656099780128.0,75656912244405,75656999900878,75656199371328.0,99.5912,16.114592,119.15152,3.445728,pass,1016504,75656.614897975,75656.702554448,extracted/F626_F649_recovery/F642_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
643,S4,recovery,1787816297.6921363,75656202817056.0,75656202940320.0,75657015055273,75657101758231,75656301593024.0,98.652704,0.123264,89.486784,-9.289184,execution_driven_miss,1016507,75656.717708843,75656.804411801,extracted/F626_F649_recovery/F643_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
644,S4,recovery,1787816297.79441,75656292303840.0,75656301840128.0,75657113734891,75657199640527,75656399361536.0,97.521408,9.536288,93.06288,-13.994816,execution_driven_miss,1016507,75656.816388461,75656.902294097,extracted/F626_F649_recovery/F644_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
645,S4,recovery,1787816297.892337,75656385366720.0,75656399593408.0,75657212058984,75657298331889,75656497814400.0,98.220992,14.226688,105.987488,-6.460192,waiting_driven_miss,1016507,75656.914712554,75657.000985459,extracted/F626_F649_recovery/F645_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
646,S4,recovery,1787816297.9920564,75656491354208.0,75656497973856.0,75657308071753,75657393578184,75656592971648.0,94.997792,6.619648,104.12912,2.51168,pass,1016507,75657.010725323,75657.096231754,extracted/F626_F649_recovery/F646_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
647,S4,recovery,1787816298.0926294,75656595483328.0,75656595647968.0,75657405492251,75657491803588,75656691237536.0,95.589568,0.16464,89.05264,-6.701568,execution_driven_miss,1016510,75657.108145821,75657.194457158,extracted/F626_F649_recovery/F647_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
648,S4,recovery,1787816298.1917973,75656684535968.0,75656691398592.0,75657501641822,75657587536930,75656787173888.0,95.775296,6.862624,101.301664,-1.336256,waiting_driven_miss,1016510,75657.204295392,75657.2901905,extracted/F626_F649_recovery/F648_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
649,S4,recovery,1787816298.2919734,75656785837632.0,75656787398208.0,75657598400232,75657686397574,75656885771040.0,98.372832,1.560576,96.390208,-3.5432,execution_driven_miss,1016510,75657.301053802,75657.389051144,extracted/F626_F649_recovery/F649_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
