evidence_id,run_id,layer,metric,value,unit,evidence_class,clock_domain,source_file,source_locator,availability,confidence,supports_claim_ids,challenges_claim_ids,limitations,taint_tags,reference_type,distribution_scope,causal_lineage_grade,endpoint_definition,semantic_role,requirement_id,host,timestamp_type
EV.L5.D_RESPONSE.202607271048,202607271048,L5,D_response_wall_integral_data_observed_m,5.25441554093497,m,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C5.all_runs,,Canonical wall-clock speed trapezoid integral; it is not deadline-excess debt by itself.,,,,,"integral v(t) dt_wall over [t1,t2]",,,,
EV.L6.OUTCOME.202607271048,202607271048,L6,physical_outcome,safe_stop,category,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C6.all_runs|C7.all_runs,,Observed outcome cannot by itself establish a temporal failure.,,,,,MINIMUM_SPEED_PROXY,PHYSICAL_OUTCOME,,,
EV.PTARGET.202607271048,202607271048,P_TARGET,target_identity_and_presence,12,id,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_TARGET.all_runs,,Target identity is present in generated tables but no end-to-end target lineage is archived.,,,,,,TARGET_ASSOCIATION,,,
EV.L2.GAP_MAX.202607271048,202607271048,L2,target_update_gap_max,112.501859664917,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,C2.all_runs,,Single maximum without a requirement or nominal distribution is case-level characterization only.,,MISSING,SINGLE_MAX,,,,,,
EV.L4.TAU_RETRO.202607271048,202607271048,L4,tau_retro,504.6235461644878,ms,RETROSPECTIVE_RECONSTRUCTION,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_DEADLINE.all_runs|C4.all_runs,,Same-run physical reconstruction uses post-response/full-trajectory information; not a primary requirement.,RETROSPECTIVE,,,,legacy tau_dynamic_data_derived_ms reclassified,,REQ.RETRO.COLLISION.202607271048,,
EV.PFUNC.202607271048,202607271048,P_FUNC,functional_chain_presence,PARTIAL,state,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_FUNC.all_runs,,Planning/output presence is not functional correctness; Control payload is not archived.,,,,,,,,,
EV.L1.DELAY.202607271054,202607271054,L1,bridge_delay_actual_wall_data_observed_ms,0.069502,ms,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C1.all_runs|P_CLOCK.fault_signature,,"Establishes injected Bridge/SCB disturbance, not an intrinsic Apollo defect.",,,PER_RUN,,SCB/Bridge measured application delay,TEMPORAL_DISTURBANCE_APPLICATION,,,
EV.L2.TR.202607271054,202607271054,L2,T_R,299.9768257141113,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C2.all_runs|C4.all_runs,,Wall-clock physical reaction interval; group degradation still requires a declared reference.,,,PER_RUN,,PHYSICAL_RESPONSE:t2_wall_s-t1_wall_s,PHYSICAL_REACTION_INTERVAL,,,
EV.L5.D_RESPONSE.202607271054,202607271054,L5,D_response_wall_integral_data_observed_m,5.3671294775498595,m,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C5.all_runs,,Canonical wall-clock speed trapezoid integral; it is not deadline-excess debt by itself.,,,,,"integral v(t) dt_wall over [t1,t2]",,,,
EV.L6.OUTCOME.202607271054,202607271054,L6,physical_outcome,safe_stop,category,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C6.all_runs|C7.all_runs,,Observed outcome cannot by itself establish a temporal failure.,,,,,MINIMUM_SPEED_PROXY,PHYSICAL_OUTCOME,,,
EV.PTARGET.202607271054,202607271054,P_TARGET,target_identity_and_presence,10,id,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_TARGET.all_runs,,Target identity is present in generated tables but no end-to-end target lineage is archived.,,,,,,TARGET_ASSOCIATION,,,
EV.L2.GAP_MAX.202607271054,202607271054,L2,target_update_gap_max,116.79315567016602,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,C2.all_runs,,Single maximum without a requirement or nominal distribution is case-level characterization only.,,MISSING,SINGLE_MAX,,,,,,
EV.L4.TAU_RETRO.202607271054,202607271054,L4,tau_retro,456.0916344175206,ms,RETROSPECTIVE_RECONSTRUCTION,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_DEADLINE.all_runs|C4.all_runs,,Same-run physical reconstruction uses post-response/full-trajectory information; not a primary requirement.,RETROSPECTIVE,,,,legacy tau_dynamic_data_derived_ms reclassified,,REQ.RETRO.COLLISION.202607271054,,
EV.PFUNC.202607271054,202607271054,P_FUNC,functional_chain_presence,PARTIAL,state,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_FUNC.all_runs,,Planning/output presence is not functional correctness; Control payload is not archived.,,,,,,,,,
EV.L1.DELAY.202607271059,202607271059,L1,bridge_delay_actual_wall_data_observed_ms,0.067998,ms,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C1.all_runs|P_CLOCK.fault_signature,,"Establishes injected Bridge/SCB disturbance, not an intrinsic Apollo defect.",,,PER_RUN,,SCB/Bridge measured application delay,TEMPORAL_DISTURBANCE_APPLICATION,,,
EV.L2.TR.202607271059,202607271059,L2,T_R,399.7499942779541,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C2.all_runs|C4.all_runs,,Wall-clock physical reaction interval; group degradation still requires a declared reference.,,,PER_RUN,,PHYSICAL_RESPONSE:t2_wall_s-t1_wall_s,PHYSICAL_REACTION_INTERVAL,,,
EV.L5.D_RESPONSE.202607271059,202607271059,L5,D_response_wall_integral_data_observed_m,7.005683189973678,m,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C5.all_runs,,Canonical wall-clock speed trapezoid integral; it is not deadline-excess debt by itself.,,,,,"integral v(t) dt_wall over [t1,t2]",,,,
EV.L6.OUTCOME.202607271059,202607271059,L6,physical_outcome,safe_stop,category,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C6.all_runs|C7.all_runs,,Observed outcome cannot by itself establish a temporal failure.,,,,,MINIMUM_SPEED_PROXY,PHYSICAL_OUTCOME,,,
EV.PTARGET.202607271059,202607271059,P_TARGET,target_identity_and_presence,9,id,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_TARGET.all_runs,,Target identity is present in generated tables but no end-to-end target lineage is archived.,,,,,,TARGET_ASSOCIATION,,,
EV.L2.GAP_MAX.202607271059,202607271059,L2,target_update_gap_max,98.57892990112305,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,C2.all_runs,,Single maximum without a requirement or nominal distribution is case-level characterization only.,,MISSING,SINGLE_MAX,,,,,,
EV.L4.TAU_RETRO.202607271059,202607271059,L4,tau_retro,566.5569909545137,ms,RETROSPECTIVE_RECONSTRUCTION,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_DEADLINE.all_runs|C4.all_runs,,Same-run physical reconstruction uses post-response/full-trajectory information; not a primary requirement.,RETROSPECTIVE,,,,legacy tau_dynamic_data_derived_ms reclassified,,REQ.RETRO.COLLISION.202607271059,,
EV.PFUNC.202607271059,202607271059,P_FUNC,functional_chain_presence,PARTIAL,state,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_FUNC.all_runs,,Planning/output presence is not functional correctness; Control payload is not archived.,,,,,,,,,
EV.L1.DELAY.202607271104,202607271104,L1,bridge_delay_actual_wall_data_observed_ms,0.067633,ms,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C1.all_runs|P_CLOCK.fault_signature,,"Establishes injected Bridge/SCB disturbance, not an intrinsic Apollo defect.",,,PER_RUN,,SCB/Bridge measured application delay,TEMPORAL_DISTURBANCE_APPLICATION,,,
EV.L2.TR.202607271104,202607271104,L2,T_R,399.6460437774658,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C2.all_runs|C4.all_runs,,Wall-clock physical reaction interval; group degradation still requires a declared reference.,,,PER_RUN,,PHYSICAL_RESPONSE:t2_wall_s-t1_wall_s,PHYSICAL_REACTION_INTERVAL,,,
EV.L5.D_RESPONSE.202607271104,202607271104,L5,D_response_wall_integral_data_observed_m,6.935600898780944,m,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C5.all_runs,,Canonical wall-clock speed trapezoid integral; it is not deadline-excess debt by itself.,,,,,"integral v(t) dt_wall over [t1,t2]",,,,
EV.L6.OUTCOME.202607271104,202607271104,L6,physical_outcome,safe_stop,category,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C6.all_runs|C7.all_runs,,Observed outcome cannot by itself establish a temporal failure.,,,,,MINIMUM_SPEED_PROXY,PHYSICAL_OUTCOME,,,
EV.PTARGET.202607271104,202607271104,P_TARGET,target_identity_and_presence,11,id,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_TARGET.all_runs,,Target identity is present in generated tables but no end-to-end target lineage is archived.,,,,,,TARGET_ASSOCIATION,,,
EV.L2.GAP_MAX.202607271104,202607271104,L2,target_update_gap_max,97.9609489440918,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,C2.all_runs,,Single maximum without a requirement or nominal distribution is case-level characterization only.,,MISSING,SINGLE_MAX,,,,,,
EV.L4.TAU_RETRO.202607271104,202607271104,L4,tau_retro,639.0472248294475,ms,RETROSPECTIVE_RECONSTRUCTION,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_DEADLINE.all_runs|C4.all_runs,,Same-run physical reconstruction uses post-response/full-trajectory information; not a primary requirement.,RETROSPECTIVE,,,,legacy tau_dynamic_data_derived_ms reclassified,,REQ.RETRO.COLLISION.202607271104,,
EV.PFUNC.202607271104,202607271104,P_FUNC,functional_chain_presence,PARTIAL,state,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_FUNC.all_runs,,Planning/output presence is not functional correctness; Control payload is not archived.,,,,,,,,,
EV.L1.DELAY.202607271108,202607271108,L1,bridge_delay_actual_wall_data_observed_ms,0.091174,ms,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C1.all_runs|P_CLOCK.fault_signature,,"Establishes injected Bridge/SCB disturbance, not an intrinsic Apollo defect.",,,PER_RUN,,SCB/Bridge measured application delay,TEMPORAL_DISTURBANCE_APPLICATION,,,
EV.L2.TR.202607271108,202607271108,L2,T_R,300.6410598754883,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C2.all_runs|C4.all_runs,,Wall-clock physical reaction interval; group degradation still requires a declared reference.,,,PER_RUN,,PHYSICAL_RESPONSE:t2_wall_s-t1_wall_s,PHYSICAL_REACTION_INTERVAL,,,
EV.L5.D_RESPONSE.202607271108,202607271108,L5,D_response_wall_integral_data_observed_m,5.284453642764105,m,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C5.all_runs,,Canonical wall-clock speed trapezoid integral; it is not deadline-excess debt by itself.,,,,,"integral v(t) dt_wall over [t1,t2]",,,,
EV.L6.OUTCOME.202607271108,202607271108,L6,physical_outcome,safe_stop,category,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C6.all_runs|C7.all_runs,,Observed outcome cannot by itself establish a temporal failure.,,,,,MINIMUM_SPEED_PROXY,PHYSICAL_OUTCOME,,,
EV.PTARGET.202607271108,202607271108,P_TARGET,target_identity_and_presence,11,id,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_TARGET.all_runs,,Target identity is present in generated tables but no end-to-end target lineage is archived.,,,,,,TARGET_ASSOCIATION,,,
EV.L2.GAP_MAX.202607271108,202607271108,L2,target_update_gap_max,113.37804794311523,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,C2.all_runs,,Single maximum without a requirement or nominal distribution is case-level characterization only.,,MISSING,SINGLE_MAX,,,,,,
EV.L4.TAU_RETRO.202607271108,202607271108,L4,tau_retro,504.6556845074593,ms,RETROSPECTIVE_RECONSTRUCTION,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_DEADLINE.all_runs|C4.all_runs,,Same-run physical reconstruction uses post-response/full-trajectory information; not a primary requirement.,RETROSPECTIVE,,,,legacy tau_dynamic_data_derived_ms reclassified,,REQ.RETRO.COLLISION.202607271108,,
EV.PFUNC.202607271108,202607271108,P_FUNC,functional_chain_presence,PARTIAL,state,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_FUNC.all_runs,,Planning/output presence is not functional correctness; Control payload is not archived.,,,,,,,,,
EV.L1.DELAY.202607271113,202607271113,L1,bridge_delay_actual_wall_data_observed_ms,0.067197,ms,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C1.all_runs|P_CLOCK.fault_signature,,"Establishes injected Bridge/SCB disturbance, not an intrinsic Apollo defect.",,,PER_RUN,,SCB/Bridge measured application delay,TEMPORAL_DISTURBANCE_APPLICATION,,,
EV.L2.TR.202607271113,202607271113,L2,T_R,299.79610443115234,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C2.all_runs|C4.all_runs,,Wall-clock physical reaction interval; group degradation still requires a declared reference.,,,PER_RUN,,PHYSICAL_RESPONSE:t2_wall_s-t1_wall_s,PHYSICAL_REACTION_INTERVAL,,,
EV.L5.D_RESPONSE.202607271113,202607271113,L5,D_response_wall_integral_data_observed_m,5.2312645659572246,m,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C5.all_runs,,Canonical wall-clock speed trapezoid integral; it is not deadline-excess debt by itself.,,,,,"integral v(t) dt_wall over [t1,t2]",,,,
EV.L6.OUTCOME.202607271113,202607271113,L6,physical_outcome,safe_stop,category,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C6.all_runs|C7.all_runs,,Observed outcome cannot by itself establish a temporal failure.,,,,,MINIMUM_SPEED_PROXY,PHYSICAL_OUTCOME,,,
EV.PTARGET.202607271113,202607271113,P_TARGET,target_identity_and_presence,12,id,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_TARGET.all_runs,,Target identity is present in generated tables but no end-to-end target lineage is archived.,,,,,,TARGET_ASSOCIATION,,,
EV.L2.GAP_MAX.202607271113,202607271113,L2,target_update_gap_max,285.7990264892578,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,C2.all_runs,,Single maximum without a requirement or nominal distribution is case-level characterization only.,,MISSING,SINGLE_MAX,,,,,,
EV.L4.TAU_RETRO.202607271113,202607271113,L4,tau_retro,498.5079467081604,ms,RETROSPECTIVE_RECONSTRUCTION,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_DEADLINE.all_runs|C4.all_runs,,Same-run physical reconstruction uses post-response/full-trajectory information; not a primary requirement.,RETROSPECTIVE,,,,legacy tau_dynamic_data_derived_ms reclassified,,REQ.RETRO.COLLISION.202607271113,,
EV.PFUNC.202607271113,202607271113,P_FUNC,functional_chain_presence,PARTIAL,state,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_FUNC.all_runs,,Planning/output presence is not functional correctness; Control payload is not archived.,,,,,,,,,
EV.L1.DELAY.202607271131,202607271131,L1,bridge_delay_actual_wall_data_observed_ms,300.046735,ms,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C1.all_runs|P_CLOCK.fault_signature,,"Establishes injected Bridge/SCB disturbance, not an intrinsic Apollo defect.",,,PER_RUN,,SCB/Bridge measured application delay,TEMPORAL_DISTURBANCE_APPLICATION,,,
EV.L2.TR.202607271131,202607271131,L2,T_R,799.6358871459961,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C2.all_runs|C4.all_runs,,Wall-clock physical reaction interval; group degradation still requires a declared reference.,,,PER_RUN,,PHYSICAL_RESPONSE:t2_wall_s-t1_wall_s,PHYSICAL_REACTION_INTERVAL,,,
EV.L5.D_RESPONSE.202607271131,202607271131,L5,D_response_wall_integral_data_observed_m,13.432027958524642,m,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C5.all_runs,,Canonical wall-clock speed trapezoid integral; it is not deadline-excess debt by itself.,,,,,"integral v(t) dt_wall over [t1,t2]",,,,
