run_id,group_name,perception_status,prediction_status,planning_status,control_status,bridge_status,perception_evidence,prediction_evidence,planning_evidence,control_evidence,bridge_evidence,source_perception_file,source_prediction_file,source_planning_file,source_control_trace_file,source_scb_file
202607171703,baseline,PASS,PASS,PASS,PASS,PASS,stable_frames=3; target_latency_ms=227.240,input=53; output=53; static_valid=53,stop_count=24; target_id=250; status_ok=1; primal_infeasible=223; speed_fallback=19; constant_deceleration_fallback=19; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=259.521; command payload not archived; physical_after_control=True,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\baseline\202607171703\log\perception.log.INFO.20260717-170128.398545,D:\data\baseline\202607171703\log\prediction.log.INFO.20260717-170122.398528,D:\data\baseline\202607171703\log\planning.log.INFO.20260717-170122.398540,D:\data\baseline\202607171703\trace\message_context\control.398542.csv,D:\data\baseline\202607171703\log\scb_control_delay_20260717170059_182057.csv
202607181958,delay_100ms,PASS,PASS,PASS,PASS,UNKNOWN,stable_frames=3; target_latency_ms=259.425,input=45; output=45; static_valid=45,stop_count=23; target_id=14; status_ok=1; primal_infeasible=209; speed_fallback=17; constant_deceleration_fallback=16; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=292.223; command payload not archived; physical_after_control=True,scb_present=False; statuses=,D:\data\100ms\202607181958\log\perception.log.INFO.20260718-195640.214015,D:\data\100ms\202607181958\log\prediction.log.INFO.20260718-195635.213950,D:\data\100ms\202607181958\log\planning.log.INFO.20260718-195636.213961,D:\data\100ms\202607181958\trace\message_context\control.213967.csv,
202607182007,delay_300ms,PASS,PASS,PASS,PASS,UNKNOWN,stable_frames=3; target_latency_ms=292.655,input=54; output=54; static_valid=54,stop_count=27; target_id=40; status_ok=1; primal_infeasible=78; speed_fallback=30; constant_deceleration_fallback=29; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=330.412; command payload not archived; physical_after_control=True,scb_present=False; statuses=,D:\data\300ms\202607182007\log\perception.log.INFO.20260718-200600.288898,D:\data\300ms\202607182007\log\prediction.log.INFO.20260718-200554.288882,D:\data\300ms\202607182007\log\planning.log.INFO.20260718-200555.288886,D:\data\300ms\202607182007\trace\message_context\control.288888.csv,
202607182012,delay_300ms,PASS,PASS,PASS,DEGRADED,PASS,stable_frames=3; target_latency_ms=260.690,input=46; output=46; static_valid=46,stop_count=20; target_id=14; status_ok=1; primal_infeasible=54; speed_fallback=15; constant_deceleration_fallback=15; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=286.664; command payload not archived; physical_after_control=False,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\300ms\202607182012\log\perception.log.INFO.20260718-201143.338692,D:\data\300ms\202607182012\log\prediction.log.INFO.20260718-201137.338684,D:\data\300ms\202607182012\log\planning.log.INFO.20260718-201138.338688,D:\data\300ms\202607182012\trace\message_context\control.338690.csv,D:\data\300ms\202607182012\log\scb_control_delay_20260718201117_622423.csv
202607182017,delay_300ms,PASS,PASS,PASS,PASS,UNKNOWN,stable_frames=3; target_latency_ms=242.101,input=63; output=63; static_valid=63,stop_count=25; target_id=19; status_ok=1; primal_infeasible=89; speed_fallback=29; constant_deceleration_fallback=29; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=269.261; command payload not archived; physical_after_control=True,scb_present=False; statuses=,D:\data\300ms\202607182017\log\perception.log.INFO.20260718-201451.379806,D:\data\300ms\202607182017\log\prediction.log.INFO.20260718-201444.379751,D:\data\300ms\202607182017\log\planning.log.INFO.20260718-201445.379762,D:\data\300ms\202607182017\trace\message_context\control.379766.csv,
202607182021,delay_300ms,PASS,PASS,PASS,PASS,UNKNOWN,stable_frames=3; target_latency_ms=238.003,input=92; output=92; static_valid=92,stop_count=27; target_id=34; status_ok=1; primal_infeasible=47; speed_fallback=27; constant_deceleration_fallback=27; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=284.258; command payload not archived; physical_after_control=True,scb_present=False; statuses=,D:\data\300ms\202607182021\log\perception.log.INFO.20260718-201910.429820,D:\data\300ms\202607182021\log\prediction.log.INFO.20260718-201905.429754,D:\data\300ms\202607182021\log\planning.log.INFO.20260718-201905.429764,D:\data\300ms\202607182021\trace\message_context\control.429769.csv,
202607182026,delay_300ms,PASS,PASS,PASS,PASS,UNKNOWN,stable_frames=3; target_latency_ms=273.052,input=60; output=60; static_valid=60,stop_count=26; target_id=19; status_ok=1; primal_infeasible=41; speed_fallback=29; constant_deceleration_fallback=29; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=301.190; command payload not archived; physical_after_control=True,scb_present=False; statuses=,D:\data\300ms\202607182026\log\perception.log.INFO.20260718-202435.493217,D:\data\300ms\202607182026\log\prediction.log.INFO.20260718-202429.493208,D:\data\300ms\202607182026\log\planning.log.INFO.20260718-202429.493212,D:\data\300ms\202607182026\trace\message_context\control.493214.csv,
202607182029,delay_300ms,PASS,PASS,PASS,PASS,UNKNOWN,stable_frames=3; target_latency_ms=236.732,input=75; output=75; static_valid=75,stop_count=27; target_id=21; status_ok=1; primal_infeasible=72; speed_fallback=27; constant_deceleration_fallback=27; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=266.111; command payload not archived; physical_after_control=True,scb_present=False; statuses=,D:\data\300ms\202607182029\log\perception.log.INFO.20260718-202731.521704,D:\data\300ms\202607182029\log\prediction.log.INFO.20260718-202724.521635,D:\data\300ms\202607182029\log\planning.log.INFO.20260718-202724.521645,D:\data\300ms\202607182029\trace\message_context\control.521651.csv,
202607191727,delay_400ms,PASS,PASS,PASS,PASS,PASS,stable_frames=3; target_latency_ms=283.272,input=25; output=25; static_valid=25,stop_count=25; target_id=55; status_ok=1; primal_infeasible=59; speed_fallback=33; constant_deceleration_fallback=32; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=309.824; command payload not archived; physical_after_control=True,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\400ms\202607191727\log\perception.log.INFO.20260719-172527.2297811,D:\data\400ms\202607191727\log\prediction.log.INFO.20260719-172520.2297803,D:\data\400ms\202607191727\log\planning.log.INFO.20260719-172520.2297807,D:\data\400ms\202607191727\trace\message_context\control.2297809.csv,D:\data\400ms\202607191727\log\scb_control_delay_20260719172457_208755.csv
202607191734,delay_400ms,PASS,PASS,PASS,DEGRADED,PASS,stable_frames=3; target_latency_ms=263.722,input=70; output=70; static_valid=70,stop_count=17; target_id=39; status_ok=1; primal_infeasible=30; speed_fallback=13; constant_deceleration_fallback=13; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=289.160; command payload not archived; physical_after_control=False,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\400ms\202607191734\log\perception.log.INFO.20260719-173232.2353098,D:\data\400ms\202607191734\log\prediction.log.INFO.20260719-173226.2353070,D:\data\400ms\202607191734\log\planning.log.INFO.20260719-173227.2353074,D:\data\400ms\202607191734\trace\message_context\control.2353076.csv,D:\data\400ms\202607191734\log\scb_control_delay_20260719173206_633321.csv
202607191739,delay_400ms,DEGRADED,PASS,PASS,PASS,PASS,stable_frames=3; target_latency_ms=814.085,input=21; output=21; static_valid=21,stop_count=16; target_id=3; status_ok=1; primal_infeasible=33; speed_fallback=18; constant_deceleration_fallback=18; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=836.209; command payload not archived; physical_after_control=True,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\400ms\202607191739\log\perception.log.INFO.20260719-173849.2407216,D:\data\400ms\202607191739\log\prediction.log.INFO.20260719-173843.2407188,D:\data\400ms\202607191739\log\planning.log.INFO.20260719-173843.2407192,D:\data\400ms\202607191739\trace\message_context\control.2407194.csv,D:\data\400ms\202607191739\log\scb_control_delay_20260719173822_900002.csv
202607201555,delay_400ms,PASS,PASS,PASS,PASS,PASS,stable_frames=3; target_latency_ms=347.317,input=43; output=43; static_valid=43,stop_count=24; target_id=29; status_ok=1; primal_infeasible=141; speed_fallback=45; constant_deceleration_fallback=45; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=375.599; command payload not archived; physical_after_control=True,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\400ms\202607201555\log\perception.log.INFO.20260720-155211.107034,D:\data\400ms\202607201555\log\prediction.log.INFO.20260720-155206.107004,D:\data\400ms\202607201555\log\planning.log.INFO.20260720-155206.107008,D:\data\400ms\202607201555\trace\message_context\control.107010.csv,D:\data\400ms\202607201555\log\scb_control_delay_20260720155142_879465.csv
202607201611,delay_400ms,PASS,PASS,PASS,PASS,PASS,stable_frames=3; target_latency_ms=271.929,input=23; output=23; static_valid=23,stop_count=23; target_id=44; status_ok=1; primal_infeasible=56; speed_fallback=28; constant_deceleration_fallback=27; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=302.589; command payload not archived; physical_after_control=True,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\400ms\202607201611\log\perception.log.INFO.20260720-160849.232203,D:\data\400ms\202607201611\log\prediction.log.INFO.20260720-160843.232177,D:\data\400ms\202607201611\log\planning.log.INFO.20260720-160843.232181,D:\data\400ms\202607201611\trace\message_context\control.232183.csv,D:\data\400ms\202607201611\log\scb_control_delay_20260720160820_089097.csv
