requirement_id,run_id_or_group,requirement_name,requirement_value,unit,requirement_provenance,pre_registered,external_or_internal,safety_meaning,deadline_type,evidence_class,tau_req_low_ms,tau_req_center_ms,tau_req_high_ms,validation_scope,p_deadline_qualification,notes
REQ.RETRO.SAFETY6M.202607271206,202607271206,same-run reconstructed 6 m budget,363.26550994379585,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,internal 6 m analysis margin,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,363.26550994379585,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.COLLISION.202607271211,202607271211,same-run reconstructed collision-avoidance budget,772.989282885938,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,zero-clearance reconstructed budget,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,772.989282885938,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.SAFETY6M.202607271211,202607271211,same-run reconstructed 6 m budget,416.7000832275219,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,internal 6 m analysis margin,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,416.7000832275219,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.COLLISION.202607271643,202607271643,same-run reconstructed collision-avoidance budget,,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,zero-clearance reconstructed budget,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.SAFETY6M.202607271643,202607271643,same-run reconstructed 6 m budget,,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,internal 6 m analysis margin,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.MODEL.202607271031,202607271031,baseline-calibrated model timing budget,1056.3206244296296,ms,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",FALSE,INTERNAL_MODEL,predicted zero-clearance timing budget,MODEL,UNVALIDATED_MODEL,,1056.3206244296296,,IN_SAMPLE_BASELINE_CALIBRATED,NOT_QUALIFIED_PRIMARY,Not cross-validated or independent; model-supported only.
REQ.MODEL.202607271048,202607271048,baseline-calibrated model timing budget,498.52166905215006,ms,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",FALSE,INTERNAL_MODEL,predicted zero-clearance timing budget,MODEL,UNVALIDATED_MODEL,,498.52166905215006,,IN_SAMPLE_BASELINE_CALIBRATED,NOT_QUALIFIED_PRIMARY,Not cross-validated or independent; model-supported only.
REQ.MODEL.202607271054,202607271054,baseline-calibrated model timing budget,465.2471517441111,ms,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",FALSE,INTERNAL_MODEL,predicted zero-clearance timing budget,MODEL,UNVALIDATED_MODEL,,465.2471517441111,,IN_SAMPLE_BASELINE_CALIBRATED,NOT_QUALIFIED_PRIMARY,Not cross-validated or independent; model-supported only.
REQ.MODEL.202607271059,202607271059,baseline-calibrated model timing budget,566.5569909545137,ms,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",FALSE,INTERNAL_MODEL,predicted zero-clearance timing budget,MODEL,UNVALIDATED_MODEL,,566.5569909545137,,IN_SAMPLE_BASELINE_CALIBRATED,NOT_QUALIFIED_PRIMARY,Not cross-validated or independent; model-supported only.
REQ.MODEL.202607271104,202607271104,baseline-calibrated model timing budget,578.0343841823385,ms,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",FALSE,INTERNAL_MODEL,predicted zero-clearance timing budget,MODEL,UNVALIDATED_MODEL,,578.0343841823385,,IN_SAMPLE_BASELINE_CALIBRATED,NOT_QUALIFIED_PRIMARY,Not cross-validated or independent; model-supported only.
REQ.MODEL.202607271108,202607271108,baseline-calibrated model timing budget,485.08364205677634,ms,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",FALSE,INTERNAL_MODEL,predicted zero-clearance timing budget,MODEL,UNVALIDATED_MODEL,,485.08364205677634,,IN_SAMPLE_BASELINE_CALIBRATED,NOT_QUALIFIED_PRIMARY,Not cross-validated or independent; model-supported only.
REQ.MODEL.202607271113,202607271113,baseline-calibrated model timing budget,510.5696521203918,ms,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",FALSE,INTERNAL_MODEL,predicted zero-clearance timing budget,MODEL,UNVALIDATED_MODEL,,510.5696521203918,,IN_SAMPLE_BASELINE_CALIBRATED,NOT_QUALIFIED_PRIMARY,Not cross-validated or independent; model-supported only.
REQ.MODEL.202607271131,202607271131,baseline-calibrated model timing budget,512.2701616920314,ms,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",FALSE,INTERNAL_MODEL,predicted zero-clearance timing budget,MODEL,UNVALIDATED_MODEL,,512.2701616920314,,IN_SAMPLE_BASELINE_CALIBRATED,NOT_QUALIFIED_PRIMARY,Not cross-validated or independent; model-supported only.
REQ.MODEL.202607271202,202607271202,baseline-calibrated model timing budget,696.801893842447,ms,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",FALSE,INTERNAL_MODEL,predicted zero-clearance timing budget,MODEL,UNVALIDATED_MODEL,,696.801893842447,,IN_SAMPLE_BASELINE_CALIBRATED,NOT_QUALIFIED_PRIMARY,Not cross-validated or independent; model-supported only.
REQ.MODEL.202607271206,202607271206,baseline-calibrated model timing budget,652.1970361625639,ms,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",FALSE,INTERNAL_MODEL,predicted zero-clearance timing budget,MODEL,UNVALIDATED_MODEL,,652.1970361625639,,IN_SAMPLE_BASELINE_CALIBRATED,NOT_QUALIFIED_PRIMARY,Not cross-validated or independent; model-supported only.
REQ.MODEL.202607271211,202607271211,baseline-calibrated model timing budget,692.9015106621088,ms,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",FALSE,INTERNAL_MODEL,predicted zero-clearance timing budget,MODEL,UNVALIDATED_MODEL,,692.9015106621088,,IN_SAMPLE_BASELINE_CALIBRATED,NOT_QUALIFIED_PRIMARY,Not cross-validated or independent; model-supported only.
REQ.MODEL.202607271643,202607271643,baseline-calibrated model timing budget,312.7939677497206,ms,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",FALSE,INTERNAL_MODEL,predicted zero-clearance timing budget,MODEL,UNVALIDATED_MODEL,,312.7939677497206,,IN_SAMPLE_BASELINE_CALIBRATED,NOT_QUALIFIED_PRIMARY,Not cross-validated or independent; model-supported only.
